HLCL-0|keep going if you are scared keep going
HLCL-2034|I'm not sure what we call our current ERA of feminism I've lost count of which wave were in but there's a lot that feels new
HLCL-2035|there are all these new words mansplaining the second I heard it I thought yes we needed a word for that
HLCL-2036|intersectionality an academic term for that engage race and class revenge p*** trolls modern Twist on Ancient arms
HLCL-2037|power defining things let's take a moment for feminism
HLCL-2038|the advocacy of women's rights on the basis of the political economic and social equality of the sexes
HLCL-2039|not domination not oppression equality
HLCL-2040|or is the English writer and philosopher Mary Wollstonecraft put a 225 years ago
HLCL-2041|I do not wish women to have power over men but over themselves
HLCL-2042|then there is emotional labor now that's a good one
HLCL-2043|it describes all the unpaid uncounted off an unseen work that people overwhelmingly women perform to keep their families and workplaces humming along
HLCL-2044|organizing office birthday parties arranging the kids summer camp coordinating visits with in-laws helping the new employee feel welcome and included
HLCL-2045|the list is endless all the little details without which life would devolve into chaos and misery
HLCL-2046|not all women take on these tasks and that's fine and some men do and I salute them but it's largely Woman's Work
HLCL-2047|finally someone thought to name it in my marriage I've definitely been the one to perform
HLCL-2048|the bulk of the emotional labor I'm the one who schedules family visits vacations and dinners with friends
HLCL-2049|bill has many positive qualities but managing the logistical details of a household is not one of them
HLCL-2050|of course our situation is unique for years he was a governor than the president he wasn't going to be the parent keeping track of the SAT registration deadline
HLCL-2051|we've also been privileged since moving into the governor's mansion years ago to have people helping ensure that were well fed and taken care of
HLCL-2052|neither of us has had to make an emergency run to the store to pick up milk and decades
HLCL-2053|still even our privileged lives require a lot of small but vital actions and decisions to keep rolling them
HLCL-2054|that labor extends to my friendships in March 27th
HLCL-2055|in a few of my close girlfriends came to New York for the weekend
HLCL-2056|a new friend joined us and asked how do you all know each other
HLCL-2057|that ledge my friends going around the table explaining in great detail how I have lovingly interfered in their lives over the years
HLCL-2058|when I got sick Hillary hounded me until I went to her doctor and called me immediately after for a full report
HLCL-2059|that's nothing when my little girl cut her face Hillary insisted I get a plastic surgeon and then called back 10 minutes later with the best one in Washington on the phone
HLCL-2060|they knew me well it happens at work to make sure everyone is eating that my staff is wearing sunscreen if we're at an event in the baking sun
HLCL-2061|when reporters who traveled abroad with us got sick or injured I made sure they had ginger ale and crackers and would send the state department doctor to their room is Cipro and anti-nausea drugs
HLCL-2062|none of this is unusual I've seen women CEOs her coffee at meetings women heads of state walked issues over to a sneezing staffer it's also not new
HLCL-2063|it was women like dr. Dorothy Hyde who did a lot of the unglamorous work of the Civil Rights Movement recruiting volunteers and organizing workshops and coordinating sit-ins and freedom rides it is women who do a lot of the daily knitting and Congress identifying problems bring together stakeholders
HLCL-2064|it's often women who handle constituent Outreach answering phones and responding two letters and emails
HLCL-2065|and in my experience make those calls and write those letters to Congress
HLCL-2066|we're not just the designated Warriors in our families were also the designated Warriors for our country
HLCL-2067|I think all this may help explain why women leaders around the world tend to rise higher in parliamentary systems rather than presidential ones like ours
HLCL-2068|Prime Ministers are chosen by their colleagues people they've worked with seen firsthand their talents and confidence it's a system designed to reward women's skill at building relationships which requires emotional labor
HLCL-2069|presidential systems aren't like that they reward different talents speaking a large crowds looking commanding on camera dominating and debates galvanizing mass movements in America raising a billion dollars
HLCL-2070|you got to give it to Trump he's hateful but it's hard to look away from him
HLCL-2071|he uses his size to project power he looms over the podium gets an interviewer's faces glowers threatens to punch people
