LAFB-1||party of Ku Klux Klan Riders Gallop to our home in Omaha Nebraska
LAFB-1495||those tough Negroes his Heyday had been before the big 1931 Seabury investigation that started Dutch Schultz on the way out until his career ended with his 1934 assassination
LAFB-1497||there seemed to be an understanding that these Negroes and the tough black cops never clashed
LAFB-1498||I guess both knew that someone would die they had some bad black cops in Harlem 2
LAFB-1499||The Four Horsemen that works Sugarhill I remember the worst one had freckles there was a tough quartet
LAFB-1500||the biggest blackest worst cop of the mall in Harlem was the West Indian Brisbane
LAFB-1501||Negroes cross the street to avoid him when he walked his hundred and 25th Street and 7th Avenue B
LAFB-1502||when I was in prison someone brought me a story that Brisbane have been shot to death by a scared nervous young kid who hadn't been up from the south long enough to realize how bad Brisbane was
LAFB-1503||the world's most unlikely pimp was Cadillac Drake
LAFB-1504||it was shiny bald-headed built like a football used to call his huge belly the chippies playground
LAFB-1505||Cadillac had a string of about a dozen of the stringers scrawny is black and white street prostitutes and Arla
LAFB-1506||afternoon around the bar the old-timers who knew Cadillac well enough with peas M about how women who look like his made enough to feed themselves let alone him
LAFB-1507||aurore with laughter right along with us I can hear him no bad looking
LAFB-1508||in work order just about the complete opposite of Cadillac was the young smooth independent acting pimp Sammy the pimp
LAFB-1509||he could as I have mentioned pick out the tensile prostitute by watching their expressions in dance halls
LAFB-1510||Sammy and I became and time each other's closest friend
LAFB-1511||Sammy who was from Kentucky was a cool collected expert in his business and his business was women
LAFB-1512||like Cadillac he too had both black and white women out making his living
LAFB-1513||but Sammy's women who would come into small sometimes looking for him to give him money and have him buy them a drink we're about as beautiful as any prostitutes who operated anywhere I'd imagine
LAFB-1514||one of these white women known as Alabama Peach a blond could put everybody in stitches with her draw even the several negro women numbers controllers around Smalls really liked her
LAFB-1515||what made a lot of negroes around the bar laughed the hardest was the way she would take 3 syllables to say Niger but what you usually was saying was I just love niggars
LAFB-1517||finally right in her own home with her family away she threatened the Negro man who work for her father that if he didn't take her she would swear he tried rape
LAFB-1518||he had no choice except that he quit working for them
LAFB-1519||and from then on until she finished high school she managed it several times with other Negroes and she somehow came to New York and went straight to Harlem
LAFB-1520||later on Sammy told me how he happened to spot her in the Savoy not even dancing with anybody just standing on the sidelines watching and he could tell
LAFB-1521||and once she really went for Negroes the more the better Sammy said and wouldn't have a white man
LAFB-1522||I have wondered whatever became of her it was a big fat pimp we called dollar bill
LAFB-1523||you love the flashes Kansas City roll probably $51 bill folded with a 20 on the inside and a $100 bill on the outside we always wondered what dollar bill would do if someone ever stole his hundred-dollar cover
LAFB-1524||a man who in his prime could have stolen dollar bills whole roll blindfolded was threadbare, cold few clothes
LAFB-1525||few clothes have been one of the best pickpockets in Harlem back when the white people swarmed up every night in the 1920s but then during the Depression he contracted a bad case of arthritis
LAFB-1526||Edison his hands his finger joints were knotted and gnarled so that it made people uncomfortable to look at them
LAFB-1527||rain sleet or snow every afternoon about 6 few clothes would be a small telling tall tales about the old days and it was one of the days rituals for one or another regular customer to ask the bartender to give him drinks and me to feed him
LAFB-1528||my heart goes out to all of us who win those afternoons at Smalls enacted are seen with few clothes
LAFB-1529||I wish you could have seen him pleasantly high with drinks take his seat with dignity no begging not on anybody's welfare and open his napkin and study the day's menu that I gave him and place his order
LAFB-1530||I tell the cooks it was few clothes and he'd get the best in the house I'd go back and serve it as though he were a millionaire
LAFB-1531||many times since I have thought about it and what it really meant
LAFB-1532||in one sense we were huddled in their bonded together and seeking
LAFB-1533||Purity and warmth and comfort from each other and we didn't know it
LAFB-1534||all of us who might have probe space or cured cancer or built industries were instead black victims of the white man's American social system
LAFB-1535||in another sense the tragedy of the once master pickpocket made him for those brother old-timer Hustlers up there but for the grace of God symbol
LAFB-1536||two wolves who still were able to catch some rabbits it had meaning that an old wolf with lost his fangs with still eating
LAFB-1537||then there was the burglar jumpsteady in the ghettos the white man has built for us he has forced us not to Aspire to greater things but the view everyday living as survival and then that kind of community survival is what is respected
LAFB-1538||in any Average White neighborhood bar you couldn't imagine a known Catman Thief regularly exposing himself as one of the most popular people in there
