BKOB-0||to Michelle my love and life partner
BKOB-2388||Sprint was full-on with candidates from both parties dashing around the state in the final weeks trying to win over any uncommitted voter to find and motivate In Pockets of people who might not otherwise turn out on the appointed night
BKOB-2390||John Edwards meanwhile was attempting to cover similar to rain in a bus
BKOB-2392||he's gathering for electric pulling in the car
BKOB-2393||The Boulders we most needed many on my staff and must be said we're Starstruck around Oprah with the predictable exception of Emily
BKOB-2394||the only famous person she ever expressed any interest in meeting was Tim Russert
BKOB-2395||in the Endo wasn't the poles for the size of the rallies are the celebrities who flew in that I remember most
BKOB-2396||instead it was howling those last days the whole campaign took on the feeling of family
BKOB-2397||Michelle's openness and Candor and proved to be an ass that she was a natural on the stump
BKOB-2398||the Iowa team came to call her the closer because of how many people signed up once they heard her speak
BKOB-2399||are siblings and closest friends all came to Iowa Craig from Chicago and Mayer from Hawaii and Alma from Kenya the nesbitts the Whitakers Valerie and all their kids not to mention Michelle passel of Aunts Uncles and cousins
BKOB-2400||my childhood friend from Hawaii bodies for my organizing days Law School
BKOB-2401||former State Senate colleagues and many of our donors came arriving in groups like big traveling reunions often without me even knowing they were there
BKOB-2403||it was more than just blood relatives or people we've known for years
BKOB-2404||the people of Iowa spend so much time with felt like family to
BKOB-2405||the local party leaders like attorney general Tom Miller and Treasurer Mike Fitzgerald but taking a flyer on me when few would give me a shot
BKOB-2406||volunteers like Gary lamb a progressive farmer from Tama County who helped us with rural Outreach
BKOB-2407||Leo Peck who at eighty-two have knocked on more doors than just about anybody
BKOB-2408||Mari Ortiz an African-American nurse married to a Hispanic man
BKOB-2409||in a mostly White Town came into the office to make calls three or four times a week sometimes cooking dinner for organizer there because she thought he was too skinny
BKOB-2410||family and then of course there were the field organizer
BKOB-2411||as busy as they were we decided to have them invite their parents to the Jay Jenner and the next day we host the reception for
BKOB-2412||just so that Michelle and I could say thank you to each other and to their parents for having produced such amazing sons and daughters
BKOB-2413||to this day there's nothing I wouldn't do for those kids
BKOB-2414||on the big night plotting Valerie decide to join me Reggie and Marvin on a surprise visit to a high school in Ankeny a suburb of Des Moines were several precincts would be holding their caucuses
BKOB-2415||it was January 3rd just after 6 p.m. less than an hour before the caucuses were scheduled to begin and yet the place was already packed
BKOB-2416||people's screen towards the main building from every direction and noisy
BKOB-2417||pull up Humanity no age race class or body type appeared on represent
BKOB-2419||we had no press with us then I took my time wandering through the crowd
BKOB-2420||shaking hands and thanking those who plan to support me
BKOB-2421||asking those who will caucusing for another candidate to please at least make me their second choice
BKOB-2422||if you had last-minute questions by my stance on ethanol or what I intend to do about human trafficking
BKOB-2423||over and over again people rushed up to tell me that they'd never caucus before
BKOB-2424||I'm never even bothered to vote and that our campaign had inspired them to get involved for the very first time
BKOB-2425||I didn't know I counted before one woman
BKOB-2426||on the way back to Des Moines we were mostly quiet
BKOB-2427||processing the miracle of what we had just witnessed I looked out the window at the passing strip malls and houses and streetlights all fuzzy behind the frosty glass and felt a kind of peace
BKOB-2428||we were hours still from knowing what would happen the results when they came and showed us winning Iowa decisively caring just about every demographic group
BKOB-2429||our Victory propelled by unprecedented turn on including tens of thousands of people who participated for the first time
